Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CM_Close,KSP2_CM_12MF_EPS,KSP2_CM_12MF_PE,KSP2_CM_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow,KSP2_IN_Close,KSP2_IN_12MF_EPS,KSP2_IN_12MF_PE,KSP2_IN_Fund_Flow,KSP2_HE_Close,KSP2_HE_12MF_EPS,KSP2_HE_12MF_PE,KSP2_HE_Fund_Flow
2011-04-01,280.73,"7,925.00",9.79,100.00,,,,,705.73,"3,959.00",12.01,100.00,799.47,"9,312.00",10.42,100.00,"1,259.61","14,935.00",9.56,100.00,"1,717.50","14,337.00",9.94,100.00,"1,360.03","14,380.00",9.53,100.00,894.41,"3,740.00",8.77,100.00,809.29,"4,875.00",10.98,100.00,"2,044.70","11,947.00",9.68,100.00,,,,,,,,
2011-04-08,281.05,"7,919.00",9.83,100.00,,,,,740.44,"3,953.00",12.55,100.28,849.76,"9,211.00",11.12,100.20,"1,293.23","15,021.00",9.53,99.94,"1,739.56","14,524.00",9.94,100.03,"1,343.92","14,266.00",9.38,99.94,880.78,"3,724.00",8.66,99.93,797.96,"4,754.00",11.17,99.99,"2,086.35","12,122.00",9.73,99.99,,,,,,,,
2011-04-15,282.80,"7,926.00",9.87,99.99,,,,,715.66,"3,944.00",12.14,100.19,840.57,"9,154.00",11.01,100.23,"1,301.93","15,161.00",9.53,99.91,"1,780.85","14,514.00",10.06,100.04,"1,363.02","14,164.00",9.49,99.90,858.09,"3,720.00",8.47,99.90,791.22,"4,748.00",11.11,99.99,"2,199.28","12,268.00",10.10,99.98,,,,,,,,
2011-04-22,290.84,"7,949.00",10.14,99.96,,,,,711.54,"3,932.00",12.04,100.25,822.28,"9,086.00",10.86,100.18,"1,323.65","15,242.00",9.50,99.88,"1,962.56","14,947.00",10.78,99.99,"1,437.07","14,014.00",9.99,99.84,853.86,"3,742.00",8.39,99.93,802.03,"4,695.00",11.37,100.00,"2,275.77","12,368.00",10.37,99.96,,,,,,,,
2011-04-29,290.39,"7,978.00",10.06,99.95,,,,,737.01,"3,977.00",12.37,100.40,870.13,"9,099.00",11.37,100.20,"1,257.75","14,622.00",9.14,99.58,"1,872.48","15,079.00",10.14,99.82,"1,389.28","13,832.00",9.86,99.78,893.15,"3,773.00",8.64,100.22,816.78,"4,682.00",11.58,100.05,"2,288.98","12,762.00",10.16,99.91,,,,,,,,
2011-05-06,283.68,"8,123.00",9.66,99.91,,,,,720.60,"4,035.00",12.03,100.42,809.46,"9,177.00",10.38,100.08,"1,233.68","14,688.00",9.03,99.50,"1,755.37","15,404.00",9.32,99.65,"1,370.37","14,091.00",9.62,99.79,868.48,"3,807.00",8.36,100.23,843.31,"4,807.00",11.71,100.16,"2,233.21","13,138.00",9.64,99.84,,,,,,,,
2011-05-13,279.59,"8,168.00",9.48,99.86,,,,,692.70,"4,038.00",11.55,100.27,795.76,"9,007.00",10.36,100.01,"1,197.66","14,704.00",8.82,99.46,"1,728.30","15,592.00",9.10,99.52,"1,410.29","14,285.00",9.74,99.92,824.40,"3,807.00",8.02,100.06,817.07,"4,877.00",11.18,100.15,"2,189.94","13,160.00",9.44,99.68,,,,,,,,
2011-05-20,278.59,"8,173.00",9.45,99.86,,,,,667.11,"4,035.00",11.09,100.19,808.83,"8,993.00",10.60,100.02,"1,193.47","14,710.00",8.72,99.47,"1,779.94","15,775.00",9.28,99.47,"1,350.11","14,277.00",9.35,99.94,807.45,"3,772.00",7.90,100.04,832.64,"4,888.00",11.42,100.20,"2,253.97","13,188.00",9.67,99.72,,,,,,,,
2011-05-27,277.35,"8,178.00",9.39,99.88,,,,,681.84,"4,031.00",11.29,100.22,786.33,"8,974.00",10.27,100.08,"1,167.52","14,824.00",8.37,99.41,"1,754.01","15,866.00",9.04,99.44,"1,327.06","14,219.00",9.32,99.96,806.88,"3,783.00",7.83,100.14,822.16,"4,842.00",11.41,100.20,"2,317.71","13,232.00",9.88,99.75,,,,,,,,
2011-06-03,278.84,"8,266.00",9.35,99.89,,,,,702.42,"4,091.00",11.33,100.25,847.51,"8,843.00",11.34,100.18,"1,150.73","15,115.00",8.16,99.35,"1,788.21","16,112.00",9.15,99.38,"1,259.60","14,460.00",8.86,99.92,828.71,"3,807.00",8.00,100.23,830.71,"4,885.00",11.42,100.23,"2,306.93","13,392.00",9.71,99.77,,,,,,,,
2011-06-10,269.04,"7,892.00",9.05,99.85,,,,,673.61,"4,272.00",10.79,100.21,793.40,"8,826.00",10.51,100.15,"1,164.31","15,868.00",8.21,99.35,"1,728.95","15,942.00",8.84,99.38,"1,218.73","14,535.00",8.73,99.84,807.85,"3,331.00",7.96,100.23,809.48,"4,804.00",10.72,100.22,"2,205.09","13,491.00",9.27,99.71,,,,,,,,
2011-06-17,266.22,"7,860.00",9.01,99.84,,,,,690.71,"4,267.00",11.03,100.33,792.46,"8,810.00",10.52,100.16,"1,164.10","15,831.00",8.09,99.40,"1,732.91","15,988.00",8.84,99.41,"1,171.39","14,271.00",8.54,99.77,788.75,"3,331.00",7.80,100.22,813.94,"4,801.00",10.80,100.27,"2,230.83","13,500.00",9.36,99.64,,,,,,,,
2011-06-24,274.31,"7,838.00",9.30,99.90,,,,,708.92,"4,281.00",11.35,100.38,817.62,"8,808.00",10.77,100.19,"1,243.68","15,813.00",8.73,99.54,"1,685.63","16,006.00",8.60,99.20,"1,230.97","14,163.00",9.01,99.88,830.32,"3,354.00",8.15,100.38,834.49,"4,653.00",11.36,100.35,"2,289.31","13,499.00",9.61,99.74,,,,,,,,
2011-07-01,278.77,"7,970.00",9.29,99.95,,,,,746.23,"4,460.00",11.49,100.54,824.86,"8,723.00",10.98,100.23,"1,248.69","15,951.00",8.70,99.59,"1,743.04","17,026.00",8.37,99.28,"1,231.76","14,201.00",9.03,99.96,834.08,"3,355.00",8.17,100.39,837.52,"4,696.00",11.23,100.32,"2,368.46","13,804.00",9.71,99.79,,,,,,,,
2011-07-08,286.05,"7,907.00",9.60,99.97,,,,,767.98,"4,465.00",11.86,100.60,840.62,"8,669.00",11.50,100.21,"1,293.12","15,474.00",9.15,99.63,"1,799.10","16,813.00",8.76,99.34,"1,247.93","13,924.00",9.39,99.94,849.51,"3,364.00",8.28,100.41,842.29,"4,678.00",11.28,100.27,"2,449.21","13,836.00",9.99,99.83,,,,,,,,
2011-07-15,279.59,"7,873.00",9.45,99.97,,,,,777.21,"4,456.00",12.07,100.68,807.33,"8,685.00",11.02,100.17,"1,287.35","15,554.00",9.02,99.68,"1,789.06","16,666.00",8.88,99.36,"1,195.44","13,795.00",9.04,99.90,835.70,"3,382.00",8.11,100.42,836.01,"4,639.00",11.27,100.30,"2,409.03","13,815.00",9.84,99.84,,,,,,,,
2011-07-22,282.59,"7,952.00",9.44,100.03,,,,,808.79,"4,360.00",12.83,100.75,781.32,"8,347.00",10.92,100.12,"1,317.99","16,254.00",8.86,99.76,"1,765.93","16,610.00",8.80,99.48,"1,224.68","13,535.00",9.42,99.87,865.37,"3,509.00",8.08,100.52,843.49,"4,674.00",11.26,100.32,"2,425.02","14,465.00",9.45,99.94,,,,,,,,
2011-07-29,277.11,"7,902.00",9.32,100.01,,,,,760.83,"4,331.00",12.29,100.75,752.47,"8,340.00",10.59,100.08,"1,283.22","16,327.00",8.59,99.71,"1,754.45","16,437.00",8.83,99.45,"1,197.76","13,287.00",9.43,99.88,849.07,"3,454.00",8.06,100.49,844.26,"4,516.00",11.59,100.32,"2,361.34","14,833.00",8.98,99.91,,,,,,,,
2011-08-05,251.90,"7,985.00",8.38,100.06,,,,,656.22,"4,490.00",10.24,100.83,650.89,"8,238.00",9.31,100.03,"1,174.90","16,418.00",7.95,99.78,"1,514.49","16,489.00",7.60,99.52,"1,096.08","13,438.00",8.59,99.88,788.33,"3,491.00",7.43,100.56,813.04,"4,557.00",11.05,100.40,"2,135.96","15,134.00",8.01,100.00,,,,,,,,
2011-08-12,230.38,"7,948.00",7.72,100.00,,,,,626.06,"4,514.00",9.64,100.85,617.85,"8,059.00",9.04,100.04,"1,097.32","16,421.00",7.23,99.73,"1,339.44","16,372.00",6.79,99.43,993.31,"13,360.00",7.82,99.78,695.54,"3,501.00",6.55,100.56,773.19,"4,498.00",10.60,100.37,"2,007.51","15,069.00",7.60,99.90,,,,,,,,
2011-08-19,222.98,"7,869.00",7.55,99.98,,,,,606.28,"4,514.00",9.30,100.81,568.53,"7,933.00",8.46,99.88,"1,093.10","16,418.00",7.15,99.71,"1,247.86","16,075.00",6.41,99.28,925.84,"13,122.00",7.52,99.77,703.59,"3,502.00",6.59,100.58,820.46,"4,366.00",11.63,100.52,"1,921.02","15,162.00",7.24,99.86,,,,,,,,
