Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CM_Close,KSP2_CM_12MF_EPS,KSP2_CM_12MF_PE,KSP2_CM_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow,KSP2_IN_Close,KSP2_IN_12MF_EPS,KSP2_IN_12MF_PE,KSP2_IN_Fund_Flow,KSP2_HE_Close,KSP2_HE_12MF_EPS,KSP2_HE_12MF_PE,KSP2_HE_Fund_Flow
2011-04-03,280.73,7925.00,9.79,100.00,,,,,705.73,3959.00,12.01,100.00,799.47,9312.00,10.42,100.00,1259.61,14935.00,9.56,100.00,1717.50,14337.00,9.94,100.00,1360.03,14380.00,9.53,100.00,894.41,3740.00,8.77,100.00,809.29,4875.00,10.98,100.00,2044.70,11947.00,9.68,100.00,,,,,,,,
2011-04-10,281.05,7919.00,9.83,100.00,,,,,740.44,3953.00,12.55,100.28,849.76,9211.00,11.12,100.20,1293.23,15021.00,9.53,99.94,1739.56,14524.00,9.94,100.03,1343.92,14266.00,9.38,99.94,880.78,3724.00,8.66,99.93,797.96,4754.00,11.17,99.99,2086.35,12122.00,9.73,99.99,,,,,,,,
2011-04-17,282.80,7926.00,9.87,99.99,,,,,715.66,3944.00,12.14,100.19,840.57,9154.00,11.01,100.23,1301.93,15161.00,9.53,99.91,1780.85,14514.00,10.06,100.04,1363.02,14164.00,9.49,99.90,858.09,3720.00,8.47,99.90,791.22,4748.00,11.11,99.99,2199.28,12268.00,10.10,99.98,,,,,,,,
2011-04-24,290.84,7949.00,10.14,99.96,,,,,711.54,3932.00,12.04,100.25,822.28,9086.00,10.86,100.18,1323.65,15242.00,9.50,99.88,1962.56,14947.00,10.78,99.99,1437.07,14014.00,9.99,99.84,853.86,3742.00,8.39,99.93,802.03,4695.00,11.37,100.00,2275.77,12368.00,10.37,99.96,,,,,,,,
2011-05-01,290.39,7978.00,10.06,99.95,,,,,737.01,3977.00,12.37,100.40,870.13,9099.00,11.37,100.20,1257.75,14622.00,9.14,99.58,1872.48,15079.00,10.14,99.82,1389.28,13832.00,9.86,99.78,893.15,3773.00,8.64,100.22,816.78,4682.00,11.58,100.05,2288.98,12762.00,10.16,99.91,,,,,,,,
2011-05-08,283.68,8123.00,9.66,99.91,,,,,720.60,4035.00,12.03,100.42,809.46,9177.00,10.38,100.08,1233.68,14688.00,9.03,99.50,1755.37,15404.00,9.32,99.65,1370.37,14091.00,9.62,99.79,868.48,3807.00,8.36,100.23,843.31,4807.00,11.71,100.16,2233.21,13138.00,9.64,99.84,,,,,,,,
2011-05-15,279.59,8168.00,9.48,99.86,,,,,692.70,4038.00,11.55,100.27,795.76,9007.00,10.36,100.01,1197.66,14704.00,8.82,99.46,1728.30,15592.00,9.10,99.52,1410.29,14285.00,9.74,99.92,824.40,3807.00,8.02,100.06,817.07,4877.00,11.18,100.15,2189.94,13160.00,9.44,99.68,,,,,,,,
2011-05-22,278.59,8173.00,9.45,99.86,,,,,667.11,4035.00,11.09,100.19,808.83,8993.00,10.60,100.02,1193.47,14710.00,8.72,99.47,1779.94,15775.00,9.28,99.47,1350.11,14277.00,9.35,99.94,807.45,3772.00,7.90,100.04,832.64,4888.00,11.42,100.20,2253.97,13188.00,9.67,99.72,,,,,,,,
2011-05-29,277.35,8178.00,9.39,99.88,,,,,681.84,4031.00,11.29,100.22,786.33,8974.00,10.27,100.08,1167.52,14824.00,8.37,99.41,1754.01,15866.00,9.04,99.44,1327.06,14219.00,9.32,99.96,806.88,3783.00,7.83,100.14,822.16,4842.00,11.41,100.20,2317.71,13232.00,9.88,99.75,,,,,,,,
2011-06-05,278.84,8266.00,9.35,99.89,,,,,702.42,4091.00,11.33,100.25,847.51,8843.00,11.34,100.18,1150.73,15115.00,8.16,99.35,1788.21,16112.00,9.15,99.38,1259.60,14460.00,8.86,99.92,828.71,3807.00,8.00,100.23,830.71,4885.00,11.42,100.23,2306.93,13392.00,9.71,99.77,,,,,,,,
2011-06-12,269.04,7892.00,9.05,99.85,,,,,673.61,4272.00,10.79,100.21,793.40,8826.00,10.51,100.15,1164.31,15868.00,8.21,99.35,1728.95,15942.00,8.84,99.38,1218.73,14535.00,8.73,99.84,807.85,3331.00,7.96,100.23,809.48,4804.00,10.72,100.22,2205.09,13491.00,9.27,99.71,,,,,,,,
2011-06-19,266.22,7860.00,9.01,99.84,,,,,690.71,4267.00,11.03,100.33,792.46,8810.00,10.52,100.16,1164.10,15831.00,8.09,99.40,1732.91,15988.00,8.84,99.41,1171.39,14271.00,8.54,99.77,788.75,3331.00,7.80,100.22,813.94,4801.00,10.80,100.27,2230.83,13500.00,9.36,99.64,,,,,,,,
2011-06-26,274.31,7838.00,9.30,99.90,,,,,708.92,4281.00,11.35,100.38,817.62,8808.00,10.77,100.19,1243.68,15813.00,8.73,99.54,1685.63,16006.00,8.60,99.20,1230.97,14163.00,9.01,99.88,830.32,3354.00,8.15,100.38,834.49,4653.00,11.36,100.35,2289.31,13499.00,9.61,99.74,,,,,,,,
2011-07-03,278.77,7970.00,9.29,99.95,,,,,746.23,4460.00,11.49,100.54,824.86,8723.00,10.98,100.23,1248.69,15951.00,8.70,99.59,1743.04,17026.00,8.37,99.28,1231.76,14201.00,9.03,99.96,834.08,3355.00,8.17,100.39,837.52,4696.00,11.23,100.32,2368.46,13804.00,9.71,99.79,,,,,,,,
2011-07-10,286.05,7907.00,9.60,99.97,,,,,767.98,4465.00,11.86,100.60,840.62,8669.00,11.50,100.21,1293.12,15474.00,9.15,99.63,1799.10,16813.00,8.76,99.34,1247.93,13924.00,9.39,99.94,849.51,3364.00,8.28,100.41,842.29,4678.00,11.28,100.27,2449.21,13836.00,9.99,99.83,,,,,,,,
2011-07-17,279.59,7873.00,9.45,99.97,,,,,777.21,4456.00,12.07,100.68,807.33,8685.00,11.02,100.17,1287.35,15554.00,9.02,99.68,1789.06,16666.00,8.88,99.36,1195.44,13795.00,9.04,99.90,835.70,3382.00,8.11,100.42,836.01,4639.00,11.27,100.30,2409.03,13815.00,9.84,99.84,,,,,,,,
2011-07-24,282.59,7952.00,9.44,100.03,,,,,808.79,4360.00,12.83,100.75,781.32,8347.00,10.92,100.12,1317.99,16254.00,8.86,99.76,1765.93,16610.00,8.80,99.48,1224.68,13535.00,9.42,99.87,865.37,3509.00,8.08,100.52,843.49,4674.00,11.26,100.32,2425.02,14465.00,9.45,99.94,,,,,,,,
2011-07-31,277.11,7902.00,9.32,100.01,,,,,760.83,4331.00,12.29,100.75,752.47,8340.00,10.59,100.08,1283.22,16327.00,8.59,99.71,1754.45,16437.00,8.83,99.45,1197.76,13287.00,9.43,99.88,849.07,3454.00,8.06,100.49,844.26,4516.00,11.59,100.32,2361.34,14833.00,8.98,99.91,,,,,,,,
2011-08-07,251.90,7985.00,8.38,100.06,,,,,656.22,4490.00,10.24,100.83,650.89,8238.00,9.31,100.03,1174.90,16418.00,7.95,99.78,1514.49,16489.00,7.60,99.52,1096.08,13438.00,8.59,99.88,788.33,3491.00,7.43,100.56,813.04,4557.00,11.05,100.40,2135.96,15134.00,8.01,100.00,,,,,,,,
2011-08-14,230.38,7948.00,7.72,100.00,,,,,626.06,4514.00,9.64,100.85,617.85,8059.00,9.04,100.04,1097.32,16421.00,7.23,99.73,1339.44,16372.00,6.79,99.43,993.31,13360.00,7.82,99.78,695.54,3501.00,6.55,100.56,773.19,4498.00,10.60,100.37,2007.51,15069.00,7.60,99.90,,,,,,,,
2011-08-21,222.98,7869.00,7.55,99.98,,,,,606.28,4514.00,9.30,100.81,568.53,7933.00,8.46,99.88,1093.10,16418.00,7.15,99.71,1247.86,16075.00,6.41,99.28,925.84,13122.00,7.52,99.77,703.59,3502.00,6.59,100.58,820.46,4366.00,11.63,100.52,1921.02,15162.00,7.24,99.86,,,,,,,,
2011-08-28,229.00,7768.00,7.83,99.99,,,,,628.91,4467.00,9.79,100.81,592.23,7888.00,8.84,99.89,1071.01,16248.00,7.19,99.70,1336.51,16124.00,6.91,99.30,966.92,12649.00,8.21,99.79,697.57,3504.00,6.54,100.59,780.50,4340.00,11.13,100.49,1990.77,15077.00,7.50,99.89,,,,,,,,
2011-09-04,240.16,7839.00,8.15,99.94,,,,,654.70,4543.00,10.00,100.70,624.08,8102.00,9.16,99.75,1151.82,16441.00,7.60,99.66,1402.20,16501.00,7.12,99.20,1026.93,12495.00,8.82,99.78,722.92,3512.00,6.77,100.53,802.62,4452.00,11.13,100.50,2088.30,15223.00,7.80,99.84,,,,,,,,
2011-09-11,233.40,7837.00,7.92,99.91,,,,,617.69,4544.00,9.40,100.66,589.53,8735.00,7.94,99.61,1140.26,16607.00,7.77,99.66,1315.68,16484.00,6.69,99.16,1002.19,12133.00,8.99,99.80,683.18,3532.00,6.34,100.47,799.21,4322.00,11.14,100.50,2049.75,15178.00,7.71,99.83,,,,,,,,
2011-09-18,237.50,7795.00,8.10,100.03,,,,,641.53,4496.00,9.83,100.86,581.50,8744.00,7.87,99.74,1149.58,16586.00,7.91,99.75,1332.48,16340.00,6.85,99.19,1033.46,12092.00,9.27,99.97,674.41,3521.00,6.32,100.52,820.71,4208.00,11.72,100.57,2107.72,15136.00,7.93,100.00,,,,,,,,
2011-09-25,218.62,7734.00,7.51,99.91,,,,,584.78,4511.00,8.98,100.68,501.66,8264.00,7.25,99.48,977.77,16487.00,6.77,99.52,1186.73,15922.00,6.16,98.92,985.03,11900.00,8.92,99.89,610.75,3526.00,5.70,100.44,790.84,4212.00,11.29,100.58,1979.90,15206.00,7.42,99.93,,,,,,,,
2011-10-02,230.41,7614.00,8.01,99.93,,,,,597.79,4580.00,9.03,100.68,522.86,7877.00,7.91,99.50,947.34,16309.00,6.80,99.41,1165.70,15789.00,6.10,98.87,1064.80,11694.00,9.91,99.99,679.36,3390.00,6.52,100.47,795.97,4147.00,11.65,100.57,2107.57,15278.00,7.86,99.96,,,,,,,,
2011-10-09,230.27,7820.00,8.02,100.03,,,,,553.18,4569.00,8.47,100.91,534.39,7816.00,8.21,99.78,947.12,16076.00,7.03,99.59,1151.86,15494.00,6.11,99.18,1083.47,11965.00,9.89,100.01,700.39,3528.00,6.82,100.56,814.78,4185.00,11.84,100.54,1997.81,15383.00,7.41,99.98,,,,,,,,
2011-10-16,239.67,7719.00,8.34,100.04,,,,,596.44,4567.00,9.11,100.90,567.77,7654.00,8.83,99.69,965.01,15774.00,7.13,99.55,1224.21,15847.00,6.59,99.14,1134.53,12054.00,10.20,100.03,726.08,3384.00,7.11,100.60,819.07,4219.00,11.84,100.61,2109.33,15645.00,7.69,100.02,,,,,,,,
2011-10-23,240.02,7668.00,8.41,100.03,,,,,598.37,4482.00,9.26,100.85,534.27,7526.00,8.50,99.52,933.89,15648.00,6.95,99.51,1244.52,15719.00,6.72,99.14,1170.87,12086.00,10.51,100.11,685.18,3345.00,6.79,100.56,833.11,4146.00,12.28,100.59,2139.22,15635.00,7.81,100.01,,,,,,,,
2011-10-30,252.47,7578.00,8.95,100.11,,,,,654.99,4342.00,10.49,101.06,606.11,6754.00,10.60,99.85,1044.52,15273.00,7.87,99.65,1357.55,15457.00,7.48,99.33,1179.43,11993.00,10.78,100.10,743.53,3383.00,7.23,100.69,846.22,4115.00,12.63,100.51,2188.00,15712.00,7.95,100.04,,,,,,,,
2011-11-06,252.34,7698.00,8.81,100.19,,,,,639.42,4309.00,10.48,101.13,579.24,6791.00,10.10,99.78,1014.52,15346.00,7.61,99.68,1340.31,15398.00,7.41,99.49,1186.92,12990.00,10.23,100.23,717.86,3353.00,7.08,100.69,829.95,4181.00,12.18,100.44,2246.48,15640.00,8.20,100.18,,,,,,,,
2011-11-13,242.99,7710.00,8.50,100.16,,,,,618.78,4296.00,10.14,101.08,544.77,6874.00,9.45,99.76,984.88,15343.00,7.40,99.66,1296.69,15384.00,7.16,99.42,1143.38,13264.00,9.94,100.21,676.68,3327.00,6.78,100.66,818.16,4162.00,12.05,100.41,2141.98,15658.00,7.81,100.19,,,,,,,,
2011-11-20,239.43,7670.00,8.44,100.09,,,,,608.85,4322.00,10.08,101.02,539.70,6776.00,9.45,99.72,986.00,15430.00,7.49,99.57,1269.03,15329.00,7.06,99.21,1146.92,13298.00,9.83,100.16,654.29,3311.00,6.68,100.60,821.64,3929.00,12.87,100.39,2076.38,15629.00,7.58,100.12,,,,,,,,
2011-11-27,231.03,7650.00,8.17,100.09,,,,,569.86,4327.00,9.51,101.00,510.15,6675.00,9.08,99.71,925.86,15411.00,6.98,99.54,1180.88,15214.00,6.59,99.21,1108.40,13350.00,9.52,100.17,648.17,3299.00,6.63,100.63,826.48,3917.00,13.00,100.42,1998.93,15533.00,7.35,100.07,,,,,,,,
2011-12-04,251.19,7629.00,8.78,100.16,,,,,637.89,4369.00,10.44,101.07,572.78,6573.00,10.37,99.78,1029.37,15537.00,7.74,99.58,1305.98,15006.00,7.42,99.25,1209.83,13808.00,10.13,100.24,707.54,3126.00,7.45,100.69,842.98,4332.00,11.96,100.42,2116.48,15558.00,7.74,100.23,,,,,,,,
2011-12-11,244.93,7630.00,8.56,100.09,,,,,622.40,4362.00,10.23,101.00,558.88,6650.00,9.94,99.72,996.85,14943.00,7.58,99.54,1253.96,14861.00,7.22,99.12,1170.56,13885.00,9.94,100.19,671.27,3204.00,6.99,100.59,847.79,4309.00,12.13,100.39,2062.76,15562.00,7.53,100.17,,,,,,,,
2011-12-18,239.82,7601.00,8.42,100.08,,,,,610.18,4370.00,10.19,101.01,526.94,6642.00,9.43,99.62,951.99,14825.00,7.42,99.50,1197.69,14679.00,6.96,99.08,1178.35,13901.00,9.93,100.19,647.25,3171.00,6.83,100.56,852.30,4313.00,12.22,100.40,1998.36,15556.00,7.29,100.16,,,,,,,,
2011-12-25,244.22,7595.00,8.57,100.13,,,,,619.19,4368.00,10.27,101.05,535.92,6617.00,9.67,99.69,961.70,14717.00,7.58,99.55,1210.30,14508.00,7.12,99.21,1186.18,14145.00,9.99,100.24,668.76,3162.00,7.03,100.60,868.69,4284.00,12.50,100.44,2036.30,15536.00,7.46,100.22,,,,,,,,
2012-01-01,238.08,7587.00,8.37,100.14,,,,,601.80,4348.00,10.06,101.07,509.07,6626.00,9.12,99.64,933.77,14624.00,7.37,99.55,1164.46,14487.00,6.92,99.23,1168.11,14136.00,9.87,100.26,648.51,3160.00,6.82,100.59,834.82,4285.00,12.01,100.43,2006.76,15532.00,7.37,100.24,,,,,,,,
2012-01-08,240.57,7476.00,8.41,100.11,,,,,614.26,4382.00,10.04,101.05,522.96,6766.00,9.33,99.61,952.97,14928.00,7.64,99.53,1206.22,13695.00,7.28,99.19,1187.34,13661.00,9.65,100.22,646.10,3078.00,6.78,100.55,832.22,4397.00,11.74,100.39,2040.80,15554.00,7.46,100.21,,,,,,,,
2012-01-15,245.28,7420.00,8.64,100.22,,,,,623.14,4381.00,10.21,101.05,549.79,6612.00,9.96,100.92,996.40,14591.00,7.92,99.59,1256.19,13534.00,7.66,99.27,1217.36,13581.00,9.82,100.27,656.27,3021.00,7.03,100.61,816.21,4340.00,11.64,100.36,2090.39,15575.00,7.64,100.22,,,,,,,,
2012-01-22,256.61,7350.00,9.12,100.35,,,,,651.73,4379.00,10.67,101.18,600.19,6540.00,10.99,101.18,1052.66,13797.00,8.85,99.74,1341.18,13282.00,8.36,99.45,1261.73,13574.00,10.28,100.46,710.50,2964.00,7.70,100.74,814.78,4306.00,11.71,100.34,2118.75,15659.00,7.71,100.25,,,,,,,,
2012-01-29,258.65,7335.00,9.20,100.38,,,,,658.53,4411.00,10.67,101.22,586.61,6207.00,11.17,101.18,1072.06,13869.00,8.98,99.79,1360.79,13299.00,8.47,99.59,1277.71,13577.00,10.44,100.51,728.27,2962.00,7.90,100.87,823.71,4341.00,11.70,100.33,2086.19,15586.00,7.63,100.11,,,,,,,,
2012-02-05,258.53,7321.00,9.23,100.35,,,,,691.08,4398.00,11.30,101.30,602.31,5948.00,11.66,100.98,1094.48,13888.00,9.02,99.79,1433.88,13404.00,8.84,99.73,1283.16,13672.00,10.12,100.43,746.33,2939.00,8.18,100.93,813.70,4331.00,11.59,100.28,2030.51,15466.00,7.47,100.00,,,,,,,,
2012-02-12,261.17,7279.00,9.34,100.32,,,,,710.34,4380.00,11.74,101.34,652.66,5992.00,12.54,101.06,1117.48,14113.00,9.29,99.80,1481.40,13512.00,9.04,99.66,1286.85,13557.00,10.20,100.41,741.73,2947.00,8.12,100.89,793.89,4281.00,11.45,100.18,2052.35,14472.00,7.51,99.96,,,,,,,,
2012-02-19,265.82,7198.00,9.56,100.35,,,,,698.94,4211.00,11.96,101.23,642.99,5934.00,12.51,101.05,1088.00,13968.00,9.13,99.78,1443.26,13428.00,8.85,99.68,1337.58,13245.00,10.94,100.44,740.28,2938.00,8.13,100.91,800.22,4155.00,11.88,100.19,2090.25,14430.00,7.68,100.09,,,,,,,,
2012-02-26,265.20,7186.00,9.58,100.36,,,,,698.28,4214.00,11.93,101.33,630.52,5908.00,12.35,101.03,1115.42,13968.00,9.35,99.81,1432.96,13405.00,8.79,99.63,1329.11,13230.00,11.04,100.45,733.50,2929.00,8.08,100.95,816.63,4145.00,12.20,100.21,2067.77,14401.00,7.62,100.07,,,,,,,,
2012-03-04,267.45,7260.00,9.56,100.39,,,,,714.17,4253.00,12.02,101.41,676.33,5998.00,13.03,101.18,1119.78,14120.00,9.33,99.82,1421.73,13425.00,8.71,99.64,1349.74,13474.00,10.92,100.45,731.18,2934.00,8.07,100.92,811.45,4227.00,11.87,100.21,2083.85,14522.00,7.61,100.16,,,,,,,,
2012-03-11,265.62,7314.00,9.43,100.40,,,,,718.98,4252.00,12.13,101.51,672.75,6274.00,12.45,101.21,1081.19,14091.00,8.90,99.74,1359.73,13421.00,8.33,99.61,1366.63,13734.00,11.00,100.50,726.83,2943.00,8.01,100.92,796.40,4260.00,11.58,100.18,2044.94,14466.00,7.50,100.15,,,,,,,,
2012-03-18,268.27,7345.00,9.47,100.37,,,,,708.89,4244.00,11.78,101.49,666.61,6278.00,12.34,101.16,1061.65,13839.00,8.90,99.50,1331.57,13270.00,8.23,99.64,1376.05,14081.00,10.77,100.49,763.90,2955.00,8.39,100.96,815.03,4271.00,11.79,100.18,2090.66,14435.00,7.69,100.11,,,,,,,,
2012-03-25,267.95,7361.00,9.46,100.36,,,,,707.81,4244.00,11.76,101.46,654.94,6271.00,12.16,101.15,1030.17,13714.00,8.73,99.46,1312.59,13085.00,8.23,99.64,1385.11,14162.00,10.82,100.48,766.19,2952.00,8.42,100.95,815.56,4364.00,11.79,100.19,2078.90,14417.00,7.65,100.10,,,,,,,,
2012-04-01,266.58,7369.00,9.40,100.36,,,,,686.89,4241.00,11.40,101.42,624.96,6199.00,11.93,101.02,1027.16,13097.00,9.06,99.47,1295.15,13102.00,8.13,99.77,1365.44,14386.00,10.62,100.46,744.81,2986.00,8.11,100.91,826.94,4355.00,11.99,100.20,2115.35,14325.00,7.84,100.10,,,,,,,,
2012-04-08,269.97,7460.00,9.38,100.34,,,,,661.40,4298.00,10.83,101.38,613.68,6262.00,11.58,100.96,1018.39,13173.00,8.92,99.48,1250.66,13271.00,7.74,99.77,1387.63,14704.00,10.69,100.44,738.12,3006.00,7.94,100.89,809.61,4385.00,11.66,100.18,2271.46,14450.00,8.37,100.10,,,,,,,,
2012-04-15,266.86,7468.00,9.25,100.39,,,,,658.23,4267.00,10.82,101.45,615.73,6238.00,11.62,101.02,1045.94,13219.00,9.21,99.59,1291.89,13007.00,8.16,99.85,1353.28,15228.00,10.00,100.53,737.61,3015.00,7.89,100.90,804.50,4212.00,11.81,100.14,2222.31,14442.00,8.19,100.11,,,,,,,,
2012-04-22,261.84,7433.00,9.12,100.35,,,,,637.96,4245.00,10.54,101.41,614.69,6152.00,11.80,101.01,1017.09,13250.00,8.96,99.55,1198.10,12596.00,7.79,99.55,1338.48,15357.00,9.91,100.51,712.23,3025.00,7.64,100.88,804.08,4133.00,12.09,100.16,2180.68,14366.00,8.09,100.10,,,,,,,,
2012-04-29,263.43,7414.00,9.17,100.37,,,,,612.78,4201.00,10.23,101.45,593.81,5982.00,11.66,101.03,972.59,13097.00,8.84,99.54,1145.05,12413.00,7.51,99.48,1358.76,15481.00,10.26,100.56,701.52,3020.00,7.56,100.87,804.92,3993.00,12.55,100.15,2221.21,14507.00,8.15,100.17,,,,,,,,
2012-05-06,264.40,7663.00,8.93,100.36,,,,,609.96,4240.00,10.12,101.36,613.81,6144.00,11.58,101.03,985.12,13329.00,8.71,99.53,1181.35,12471.00,7.78,99.53,1350.67,16674.00,9.44,100.54,710.91,3032.00,7.63,100.87,821.48,4080.00,12.59,100.19,2206.63,14971.00,7.84,100.14,,,,,,,,
2012-05-13,254.00,7625.00,8.60,100.33,,,,,551.32,4243.00,9.24,101.23,560.75,6032.00,10.83,100.96,932.06,12756.00,8.68,99.50,1095.79,12432.00,7.21,99.46,1301.93,16520.00,9.14,100.50,692.21,3051.00,7.39,100.87,813.00,4076.00,12.46,100.20,2149.43,14968.00,7.65,100.15,,,,,,,,
2012-05-20,235.85,7623.00,7.99,100.30,,,,,532.66,4234.00,8.84,101.13,519.90,5980.00,10.25,100.91,874.41,12743.00,8.13,99.47,1054.70,12248.00,7.06,99.47,1181.39,16460.00,8.26,100.44,644.52,3064.00,6.85,100.82,775.64,4211.00,11.51,100.19,2007.07,14984.00,7.12,100.14,,,,,,,,
2012-05-27,241.60,7614.00,8.20,100.30,,,,,568.67,4215.00,9.48,101.19,531.67,6000.00,10.48,100.93,887.37,12673.00,8.23,99.49,1076.93,12212.00,7.22,99.54,1206.42,16451.00,8.57,100.42,657.74,3059.00,6.99,100.81,775.73,4225.00,11.49,100.18,2042.73,14967.00,7.25,100.13,,,,,,,,
2012-06-03,242.98,7717.00,8.14,100.29,,,,,549.50,4278.00,9.08,101.02,538.33,6119.00,10.40,100.89,877.32,12853.00,8.08,99.46,1058.43,12333.00,7.04,99.46,1224.81,16780.00,8.49,100.43,661.08,3058.00,7.04,100.83,791.17,4324.00,11.42,100.20,2071.67,15138.00,7.27,100.13,,,,,,,,
2012-06-10,243.69,7734.00,8.16,100.29,,,,,538.11,4268.00,8.94,101.03,537.79,6018.00,10.57,100.90,902.24,13222.00,8.31,99.51,1032.91,12278.00,6.89,99.48,1240.54,16896.00,8.54,100.45,670.59,3061.00,7.13,100.82,806.17,4303.00,11.72,100.20,2029.97,15139.00,7.14,100.10,,,,,,,,
2012-06-17,246.57,7753.00,8.29,100.30,,,,,552.35,4240.00,9.22,101.08,556.91,6088.00,10.79,100.93,936.75,13354.00,8.52,99.56,1097.40,11999.00,7.42,99.61,1245.74,16826.00,8.46,100.36,682.39,3061.00,7.24,100.87,802.54,4399.00,11.72,100.21,2062.97,15193.00,7.32,100.14,,,,,,,,
2012-06-24,244.15,7751.00,8.23,100.22,,,,,549.30,4230.00,9.24,101.02,552.69,6119.00,10.65,100.80,911.17,13369.00,8.32,99.50,1077.44,11752.00,7.44,99.49,1239.61,16886.00,8.28,100.22,665.19,3073.00,7.05,100.81,816.26,4392.00,11.96,100.23,2081.16,15223.00,7.39,100.10,,,,,,,,
2012-07-01,244.90,7696.00,8.31,100.24,,,,,552.60,4191.00,9.40,101.07,549.22,5983.00,10.79,100.77,917.18,13404.00,8.25,99.50,1091.16,11463.00,7.73,99.51,1247.41,16809.00,8.41,100.26,674.77,3060.00,7.18,100.85,828.40,4320.00,12.31,100.29,2037.34,15242.00,7.22,100.08,,,,,,,,
2012-07-08,245.07,7751.00,8.27,100.23,,,,,569.06,4201.00,9.65,101.05,565.90,5943.00,11.15,100.78,927.11,13541.00,8.33,99.49,1140.75,11184.00,8.30,99.55,1241.48,17155.00,8.08,100.20,674.29,3040.00,7.23,100.85,824.59,4432.00,11.93,100.31,2023.51,15401.00,7.11,100.05,,,,,,,,
2012-07-15,238.77,7737.00,8.07,100.24,,,,,540.38,4174.00,9.23,101.07,532.40,5950.00,10.49,100.61,900.74,13518.00,8.05,99.47,1103.02,11066.00,8.11,99.56,1202.39,17166.00,7.87,100.25,650.04,3037.00,7.00,100.83,836.80,4411.00,12.11,100.32,1991.12,15400.00,7.00,100.09,,,,,,,,
2012-07-22,240.35,7730.00,8.13,100.25,,,,,533.50,4125.00,9.22,101.08,520.90,5886.00,10.30,100.58,907.71,13541.00,8.07,99.47,1131.91,11081.00,8.31,99.61,1205.31,17176.00,8.06,100.28,632.52,3023.00,6.86,100.78,835.04,4369.00,12.26,100.33,2010.17,15450.00,7.02,100.13,,,,,,,,
2012-07-29,242.23,7644.00,8.30,100.33,,,,,518.17,4060.00,9.12,101.15,510.29,5784.00,10.30,100.63,907.14,13033.00,8.39,99.49,1118.65,11354.00,8.32,99.74,1234.51,16808.00,8.49,100.44,630.13,2996.00,6.90,100.83,840.61,4281.00,12.56,100.33,2021.15,15485.00,7.05,100.15,,,,,,,,
2012-08-05,244.81,7666.00,8.37,100.33,,,,,530.40,4128.00,9.21,101.14,530.20,5837.00,10.62,100.61,907.54,13052.00,8.43,99.50,1139.06,11343.00,8.48,99.74,1247.58,16978.00,8.49,100.45,630.72,2941.00,7.05,100.80,849.95,4344.00,12.49,100.36,2027.73,15533.00,7.06,100.13,,,,,,,,
2012-08-12,258.91,7620.00,8.89,100.37,,,,,574.66,4066.00,10.03,101.20,559.05,5790.00,11.23,100.62,962.15,12924.00,9.01,99.56,1205.32,11337.00,8.99,99.77,1299.35,16931.00,9.08,100.47,674.43,2918.00,7.57,100.85,854.52,4240.00,12.85,100.37,2148.56,15499.00,7.49,100.20,,,,,,,,
2012-08-19,258.20,7567.00,8.94,100.40,,,,,581.69,4066.00,10.15,101.29,563.81,5518.00,11.87,100.66,974.77,12889.00,9.12,99.60,1230.62,11353.00,9.19,99.92,1286.14,16856.00,8.88,100.43,675.57,2906.00,7.63,100.89,874.90,4096.00,13.64,100.39,2146.87,15478.00,7.49,100.25,,,,,,,,
