Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow
2011-04-03,280.73,7925,9.79,100,705.73,3959,12.01,100,799.47,9312,10.42,100,1259.61,14935,9.56,100,1717.5,14337,9.94,100,1360.03,14380,9.53,100,894.41,3740,8.77,100,809.29,4875,10.98,100,2044.7,11947,9.68,100
2011-04-10,281.05,7919,9.83,100,740.44,3953,12.55,100.28,849.76,9211,11.12,100.2,1293.23,15021,9.53,99.94,1739.56,14524,9.94,100.03,1343.92,14266,9.38,99.94,880.78,3724,8.66,99.93,797.96,4754,11.17,99.99,2086.35,12122,9.73,99.99
2011-04-17,282.8,7926,9.87,99.99,715.66,3944,12.14,100.19,840.57,9154,11.01,100.23,1301.93,15161,9.53,99.91,1780.85,14514,10.06,100.04,1363.02,14164,9.49,99.9,858.09,3720,8.47,99.9,791.22,4748,11.11,99.99,2199.28,12268,10.1,99.98
2011-04-24,290.84,7949,10.14,99.96,711.54,3932,12.04,100.25,822.28,9086,10.86,100.18,1323.65,15242,9.5,99.88,1962.56,14947,10.78,99.99,1437.07,14014,9.99,99.84,853.86,3742,8.39,99.93,802.03,4695,11.37,100,2275.77,12368,10.37,99.96
2011-05-01,290.39,7978,10.06,99.95,737.01,3977,12.37,100.4,870.13,9099,11.37,100.2,1257.75,14622,9.14,99.58,1872.48,15079,10.14,99.82,1389.28,13832,9.86,99.78,893.15,3773,8.64,100.22,816.78,4682,11.58,100.05,2288.98,12762,10.16,99.91
2011-05-08,283.68,8123,9.66,99.91,720.6,4035,12.03,100.42,809.46,9177,10.38,100.08,1233.68,14688,9.03,99.5,1755.37,15404,9.32,99.65,1370.37,14091,9.62,99.79,868.48,3807,8.36,100.23,843.31,4807,11.71,100.16,2233.21,13138,9.64,99.84
2011-05-15,279.59,8168,9.48,99.86,692.7,4038,11.55,100.27,795.76,9007,10.36,100.01,1197.66,14704,8.82,99.46,1728.3,15592,9.1,99.52,1410.29,14285,9.74,99.92,824.4,3807,8.02,100.06,817.07,4877,11.18,100.15,2189.94,13160,9.44,99.68
2011-05-22,278.59,8173,9.45,99.86,667.11,4035,11.09,100.19,808.83,8993,10.6,100.02,1193.47,14710,8.72,99.47,1779.94,15775,9.28,99.47,1350.11,14277,9.35,99.94,807.45,3772,7.9,100.04,832.64,4888,11.42,100.2,2253.97,13188,9.67,99.72
2011-05-29,277.35,8178,9.39,99.88,681.84,4031,11.29,100.22,786.33,8974,10.27,100.08,1167.52,14824,8.37,99.41,1754.01,15866,9.04,99.44,1327.06,14219,9.32,99.96,806.88,3783,7.83,100.14,822.16,4842,11.41,100.2,2317.71,13232,9.88,99.75
2011-06-05,278.84,8266,9.35,99.89,702.42,4091,11.33,100.25,847.51,8843,11.34,100.18,1150.73,15115,8.16,99.35,1788.21,16112,9.15,99.38,1259.6,14460,8.86,99.92,828.71,3807,8,100.23,830.71,4885,11.42,100.23,2306.93,13392,9.71,99.77
2011-06-12,269.04,7892,9.05,99.85,673.61,4272,10.79,100.21,793.4,8826,10.51,100.15,1164.31,15868,8.21,99.35,1728.95,15942,8.84,99.38,1218.73,14535,8.73,99.84,807.85,3331,7.96,100.23,809.48,4804,10.72,100.22,2205.09,13491,9.27,99.71
2011-06-19,266.22,7860,9.01,99.84,690.71,4267,11.03,100.33,792.46,8810,10.52,100.16,1164.1,15831,8.09,99.4,1732.91,15988,8.84,99.41,1171.39,14271,8.54,99.77,788.75,3331,7.8,100.22,813.94,4801,10.8,100.27,2230.83,13500,9.36,99.64
2011-06-26,274.31,7838,9.3,99.9,708.92,4281,11.35,100.38,817.62,8808,10.77,100.19,1243.68,15813,8.73,99.54,1685.63,16006,8.6,99.2,1230.97,14163,9.01,99.88,830.32,3354,8.15,100.38,834.49,4653,11.36,100.35,2289.31,13499,9.61,99.74
2011-07-03,278.77,7970,9.29,99.95,746.23,4460,11.49,100.54,824.86,8723,10.98,100.23,1248.69,15951,8.7,99.59,1743.04,17026,8.37,99.28,1231.76,14201,9.03,99.96,834.08,3355,8.17,100.39,837.52,4696,11.23,100.32,2368.46,13804,9.71,99.79
2011-07-10,286.05,7907,9.6,99.97,767.98,4465,11.86,100.6,840.62,8669,11.5,100.21,1293.12,15474,9.15,99.63,1799.1,16813,8.76,99.34,1247.93,13924,9.39,99.94,849.51,3364,8.28,100.41,842.29,4678,11.28,100.27,2449.21,13836,9.99,99.83
2011-07-17,279.59,7873,9.45,99.97,777.21,4456,12.07,100.68,807.33,8685,11.02,100.17,1287.35,15554,9.02,99.68,1789.06,16666,8.88,99.36,1195.44,13795,9.04,99.9,835.7,3382,8.11,100.42,836.01,4639,11.27,100.3,2409.03,13815,9.84,99.84
2011-07-24,282.59,7952,9.44,100.03,808.79,4360,12.83,100.75,781.32,8347,10.92,100.12,1317.99,16254,8.86,99.76,1765.93,16610,8.8,99.48,1224.68,13535,9.42,99.87,865.37,3509,8.08,100.52,843.49,4674,11.26,100.32,2425.02,14465,9.45,99.94
2011-07-31,277.11,7902,9.32,100.01,760.83,4331,12.29,100.75,752.47,8340,10.59,100.08,1283.22,16327,8.59,99.71,1754.45,16437,8.83,99.45,1197.76,13287,9.43,99.88,849.07,3454,8.06,100.49,844.26,4516,11.59,100.32,2361.34,14833,8.98,99.91
2011-08-07,251.9,7985,8.38,100.06,656.22,4490,10.24,100.83,650.89,8238,9.31,100.03,1174.9,16418,7.95,99.78,1514.49,16489,7.6,99.52,1096.08,13438,8.59,99.88,788.33,3491,7.43,100.56,813.04,4557,11.05,100.4,2135.96,15134,8.01,100
2011-08-14,230.38,7948,7.72,100,626.06,4514,9.64,100.85,617.85,8059,9.04,100.04,1097.32,16421,7.23,99.73,1339.44,16372,6.79,99.43,993.31,13360,7.82,99.78,695.54,3501,6.55,100.56,773.19,4498,10.6,100.37,2007.51,15069,7.6,99.9
2011-08-21,222.98,7869,7.55,99.98,606.28,4514,9.3,100.81,568.53,7933,8.46,99.88,1093.1,16418,7.15,99.71,1247.86,16075,6.41,99.28,925.84,13122,7.52,99.77,703.59,3502,6.59,100.58,820.46,4366,11.63,100.52,1921.02,15162,7.24,99.86
2011-08-28,229,7768,7.83,99.99,628.91,4467,9.79,100.81,592.23,7888,8.84,99.89,1071.01,16248,7.19,99.7,1336.51,16124,6.91,99.3,966.92,12649,8.21,99.79,697.57,3504,6.54,100.59,780.5,4340,11.13,100.49,1990.77,15077,7.5,99.89
2011-09-04,240.16,7839,8.15,99.94,654.7,4543,10,100.7,624.08,8102,9.16,99.75,1151.82,16441,7.6,99.66,1402.2,16501,7.12,99.2,1026.93,12495,8.82,99.78,722.92,3512,6.77,100.53,802.62,4452,11.13,100.5,2088.3,15223,7.8,99.84
2011-09-11,233.4,7837,7.92,99.91,617.69,4544,9.4,100.66,589.53,8735,7.94,99.61,1140.26,16607,7.77,99.66,1315.68,16484,6.69,99.16,1002.19,12133,8.99,99.8,683.18,3532,6.34,100.47,799.21,4322,11.14,100.5,2049.75,15178,7.71,99.83
